Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Christian Fischer,fischch01,ARI,RW,4.2,74,214,0.9676813886093742,27.472972972972972,0.967681388609374_74_214_27.472972972973,6
Ben Chiarot,chiarbe01,WPG,D,4.2,75,219,0.9676813886093742,27.37013333333333,0.967681388609374_75_219_27.3701333333333,6
Robert Bortuzzo,borturo01,STL,D,4.2,76,216,0.9676813886093742,26.289473684210527,0.967681388609374_76_216_26.2894736842105,6
Victor Hedman,hedmavi01,TBL,D,4.2,78,223,0.9676813886093742,25.76742274819198,0.967681388609374_78_223_25.767422748192,6
Alex Tuch,tuchal01,VEG,RW,4.1,76,222,0.9431962500366321,27.019736842105264,0.943196250036632_76_222_27.0197368421053,6
Joonas Donskoi,donskjo01,SJS,RW,4,72,190,0.9187111114638903,25.765817901234566,0.91871111146389_72_190_25.7658179012346,6
Henrik Zetterberg,zettehe01,DET,LW,4,72,197,0.9187111114638903,26.71508487654321,0.91871111146389_72_197_26.7150848765432,6
Kris Letang,letankr01,PIT,D,4,72,201,0.9187111114638903,27.25752314814815,0.91871111146389_72_201_27.2575231481481,6
Dmitrij Jaskin,jaskidm01,STL,RW,4,74,216,0.9187111114638903,27.72972972972973,0.91871111146389_74_216_27.7297297297297,6
Michael Raffl,rafflmi01,PHI,LW,3.9,72,200,0.8942259728911484,27.121913580246915,0.894225972891148_72_200_27.1219135802469,6
Andreas Borgman,borgman01,TOR,D,3.9,72,212,0.8942259728911484,28.749228395061728,0.894225972891148_72_212_28.7492283950617,6
Zach Hyman,hymanza01,TOR,C,3.9,73,213,0.8942259728911484,28.098892850440983,0.894225972891148_73_213_28.098892850441,6
Matthew Tkachuk,tkachma01,CGY,LW,3.9,74,202,0.8942259728911484,25.93243243243243,0.894225972891148_74_202_25.9324324324324,6
Brandon Davidson,davidbr01,TOT,D,3.9,74,208,0.8942259728911484,26.7027027027027,0.894225972891148_74_208_26.7027027027027,6
Mika Zibanejad,zibanmi01,NYR,C,3.9,74,227,0.8942259728911484,29.14189189189189,0.894225972891148_74_227_29.1418918918919,6
Nazem Kadri,kadrina01,TOR,C,3.8,72,190,0.8697408343184064,25.765817901234566,0.869740834318406_72_190_25.7658179012346,6
Morgan Rielly,riellmo01,TOR,D,3.8,73,217,0.8697408343184064,28.6265715894164,0.869740834318406_73_217_28.6265715894164,6
Josh Anderson,anderjo05,CBJ,RW,3.8,75,221,0.8697408343184064,27.62008888888889,0.869740834318406_75_221_27.6200888888889,6
Darnell Nurse,nurseda01,EDM,D,3.8,76,221,0.8697408343184064,26.898026315789473,0.869740834318406_76_221_26.8980263157895,6
Paul Byron,byronpa01,MTL,LW,3.7,69,162,0.8452556957456645,23.920604914933836,0.845255695745665_69_162_23.9206049149338,6
Yanni Gourde,gourdya01,TBL,C,3.7,69,172,0.8452556957456645,25.397185465238394,0.845255695745665_69_172_25.3971854652384,6
Kyle Turris,turriky01,TOT,C,3.7,73,190,0.8452556957456645,25.064740101332333,0.845255695745665_73_190_25.0647401013323,6
Derick Brassard,brassde01,OTT,C,3.7,73,202,0.8452556957456645,26.647776318258586,0.845255695745665_73_202_26.6477763182586,6
Chris Tierney,tiernch01,SJS,C,3.6,73,195,0.8207705571729226,25.724338525051603,0.820770557172923_73_195_25.7243385250516,6
Shea Theodore,theodsh01,VEG,D,3.6,74,195,0.8207705571729226,25.033783783783782,0.820770557172923_74_195_25.0337837837838,6
Pavel Zacha,zachapa01,NJD,C,3.6,75,210,0.8207705571729226,26.245333333333335,0.820770557172923_75_210_26.2453333333333,6
Connor Murphy,murphco02,CHI,D,3.6,76,212,0.8207705571729226,25.80263157894737,0.820770557172923_76_212_25.8026315789474,6
Artturi Lehkonen,lehkoar01,MTL,LW,3.5,72,183,0.79628541860018065,24.816550925925927,0.796285418600181_72_183_24.8165509259259,6
Timo Meier,meierti01,SJS,RW,3.5,72,215,0.79628541860018065,29.156057098765434,0.796285418600181_72_215_29.1560570987654,6
Patrick Marleau,marlepa01,TOR,LW,3.5,74,215,0.79628541860018065,27.60135135135135,0.796285418600181_74_215_27.6013513513514,6
Connor Carrick,carrico01,TOR,D,3.4,70,192,0.7718002800274387,27.54612244897959,0.771800280027439_70_192_27.5461224489796,6
Tyler Bozak,bozakty01,TOR,C,3.4,73,199,0.7718002800274387,26.25201726402702,0.771800280027439_73_199_26.252017264027,6
Stefan Noesen,noesest01,NJD,RW,3.4,73,205,0.7718002800274387,27.043535372490147,0.771800280027439_73_205_27.0435353724901,6
Jesper Bratt,brattje01,NJD,LW,3.3,70,175,0.7473151414546967,25.107142857142858,0.747315141454697_70_175_25.1071428571429,6
Elias Lindholm,lindhel01,CAR,C,3.3,73,192,0.7473151414546967,25.328579470820042,0.747315141454697_73_192_25.32857947082,6
Steven Stamkos,stamkst01,TBL,C,3.3,73,194,0.7473151414546967,25.59241884030775,0.747315141454697_73_194_25.5924188403078,6
Shea Weber,webersh01,MTL,D,3.3,76,230,0.7473151414546967,27.99342105263158,0.747315141454697_76_230_27.9934210526316,6
Ryan Callahan,callary01,TBL,RW,3.2,70,187,0.7228300028819549,26.828775510204082,0.722830002881955_70_187_26.8287755102041,6
Alexander Wennberg,wennbal01,CBJ,C,3.2,74,196,0.7228300028819549,25.16216216216216,0.722830002881955_74_196_25.1621621621622,6
Rick Nash,nashri01,NYR,RW,3.2,76,211,0.7228300028819549,25.68092105263158,0.722830002881955_76_211_25.6809210526316,6
Jesse Puljujarvi,puljuje01,EDM,RW,3.2,76,211,0.7228300028819549,25.68092105263158,0.722830002881955_76_211_25.6809210526316,6
Noel Acciari,acciano01,BOS,C,3.1,70,208,0.6983448643092129,29.841632653061225,0.698344864309213_70_208_29.8416326530612,6
Andrew Shaw,shawan01,MTL,RW,3.1,71,182,0.6983448643092129,25.381075183495337,0.698344864309213_71_182_25.3810751834953,6
Nico Hischier,hischni01,NJD,C,3.1,73,175,0.6983448643092129,23.085944830174515,0.698344864309213_73_175_23.0859448301745,6
Brandon Saad,saadbr01,CHI,LW,3.1,73,206,0.6983448643092129,27.175455057234004,0.698344864309213_73_206_27.175455057234,6
Jonathan Toews,toewsjo01,CHI,C,3.1,74,201,0.6983448643092129,25.804054054054053,0.698344864309213_74_201_25.8040540540541,6
Lance Bouma,boumala01,CHI,LW,3.1,74,208,0.6983448643092129,26.7027027027027,0.698344864309213_74_208_26.7027027027027,6
Jake Dotchin,dotchja01,TBL,D,3.1,75,210,0.6983448643092129,26.245333333333335,0.698344864309213_75_210_26.2453333333333,6
Brendan Leipsic,leipsbr01,VEG,LW,3,70,180,0.673859725736471,25.824489795918367,0.673859725736471_70_180_25.8244897959184,5
Drew Doughty,doughdr01,LAK,D,3,73,200,0.673859725736471,26.383936948770877,0.673859725736471_73_200_26.3839369487709,5
Matt Martin,martima02,TOR,LW,3,75,220,0.673859725736471,27.49511111111111,0.673859725736471_75_220_27.4951111111111,5
Brent Seabrook,seabrbr01,CHI,D,3,75,220,0.673859725736471,27.49511111111111,0.673859725736471_75_220_27.4951111111111,5
