Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI,combined_data,label
Greg Olsen,OlseGr00,CAR,TE,-57,78,254,0.19459304372903305,29.349441157133466,0.194593043729033_78_254_29.3494411571335,4
Cole Beasley,BeasCo00,DAL,WR,-58,68,174,0.1800359978530367,26.45371972318339,0.180035997853037_68_174_26.4537197231834,4
Trent Taylor,TaylTr02,SFO,WR,-58,68,181,0.1800359978530367,27.517949826989618,0.180035997853037_68_181_27.5179498269896,4
Ty Montgomery,MontTy01,GNB,RB,-58,72,216,0.1800359978530367,29.291666666666668,0.180035997853037_72_216_29.2916666666667,4
Torrey Smith,SmitTo02,PHI,WR,-58,73,205,0.1800359978530367,27.043535372490147,0.180035997853037_73_205_27.0435353724901,4
Cordarrelle Patterson,PattCo00,OAK,WR,-58,74,216,0.1800359978530367,27.72972972972973,0.180035997853037_74_216_27.7297297297297,4
Dion Sims,SimsDi00,CHI,TE,-58,77,262,0.1800359978530367,31.065272389947715,0.180035997853037_77_262_31.0652723899477,4
Ryan Griffin,GrifRy00,HOU,TE,-58,78,216,0.1800359978530367,24.958579881656803,0.180035997853037_78_216_24.9585798816568,4
Mike Gillislee,GillMi00,NWE,RB,-59,71,208,0.16547895197704035,29.006943066851814,0.16547895197704_71_208_29.0069430668518,4
Roger Lewis,LewiRo03,NYG,WR,-59,72,196,0.16547895197704035,26.579475308641975,0.16547895197704_72_196_26.579475308642,4
Adrian Peterson,PeteAd01,2TM,RB,-59,74,217,0.16547895197704035,27.85810810810811,0.16547895197704_74_217_27.8581081081081,4
Doug Martin,MartDo00,TAM,RB,-60,69,223,0.150921906101044,32.92774627179164,0.150921906101044_69_223_32.9277462717916,4
Odell Beckham,BeckOd00,NYG,WR,-60,71,198,0.150921906101044,27.612378496330095,0.150921906101044_71_198_27.6123784963301,4
Bennie Fowler,FowlBe00,DEN,WR,-60,73,217,0.150921906101044,28.6265715894164,0.150921906101044_73_217_28.6265715894164,4
Eli Manning,MannEl00,NYG,QB,-60,76,218,0.150921906101044,26.532894736842106,0.150921906101044_76_218_26.5328947368421,4
Richard Rodgers,RodgRi00,GNB,TE,-60,76,257,0.150921906101044,31.279605263157894,0.150921906101044_76_257_31.2796052631579,4
Nick Boyle,BoylNi00,BAL,TE,-60,76,268,0.150921906101044,32.61842105263158,0.150921906101044_76_268_32.6184210526316,4
Brice Butler,ButlBr00,DAL,WR,-61,75,215,0.13636486022504765,26.87022222222222,0.136364860225048_75_215_26.8702222222222,4
James O'Shaughnessy,O'ShJa00,JAX,TE,-61,76,245,0.13636486022504765,29.81907894736842,0.136364860225048_76_245_29.8190789473684,4
Alfred Morris,MorrAl00,DAL,RB,-62,69,219,0.12180781434905132,32.337114051669815,0.121807814349051_69_219_32.3371140516698,4
John Brown,BrowJo02,ARI,WR,-62,71,179,0.12180781434905132,24.96270581233882,0.121807814349051_71_179_24.9627058123388,4
J.D. McKissic,McKiJ.00,SEA,RB,-62,71,193,0.12180781434905132,26.915096211069233,0.121807814349051_71_193_26.9150962110692,4
Donte Moncrief,MoncDo00,IND,WR,-62,74,221,0.12180781434905132,28.37162162162162,0.121807814349051_74_221_28.3716216216216,4
Pierre Garcon,GarcPi00,SFO,WR,-63,72,210,0.10725076847305497,28.47800925925926,0.107250768473055_72_210_28.4780092592593,4
Chris Ivory,IvorCh00,JAX,RB,-63,72,222,0.10725076847305497,30.105324074074073,0.107250768473055_72_222_30.1053240740741,4
Brent Celek,CeleBr00,PHI,TE,-63,76,261,0.10725076847305497,31.76644736842105,0.107250768473055_76_261_31.7664473684211,4
Brandon Coleman,ColeBr00,NOR,WR,-63,78,225,0.10725076847305497,25.99852071005917,0.107250768473055_78_225_25.9985207100592,4
Troy Niklas,NiklTr00,ARI,TE,-63,79,270,0.10725076847305497,30.41339528921647,0.107250768473055_79_270_30.4133952892165,4
Taylor Gabriel,GabrTa00,ATL,WR,-64,68,167,0.09269372259705862,25.389489619377162,0.0926937225970586_68_167_25.3894896193772,4
Bruce Ellington,ElliBr00,HOU,WR,-64,69,197,0.09269372259705862,29.08863684099979,0.0926937225970586_69_197_29.0886368409998,4
Nick Vannett,VannNi00,SEA,TE,-64,78,256,0.09269372259705862,29.580539119000658,0.0926937225970586_78_256_29.5805391190007,4
Eric Tomlinson,TomlEr01,NYJ,TE,-64,78,263,0.09269372259705862,30.38938198553583,0.0926937225970586_78_263_30.3893819855358,4
Levine Toilolo,ToilLe00,ATL,TE,-64,80,260,0.09269372259705862,28.559375,0.0926937225970586_80_260_28.559375,4
T.J. Jones,JoneT.00,DET,WR,-65,72,188,0.07813667672106227,25.494598765432098,0.0781366767210623_72_188_25.4945987654321,4
Seth Roberts,RobeSe00,OAK,WR,-65,74,196,0.07813667672106227,25.16216216216216,0.0781366767210623_74_196_25.1621621621622,4
Anthony Fasano,FasaAn00,MIA,TE,-65,76,255,0.07813667672106227,31.036184210526315,0.0781366767210623_76_255_31.0361842105263,4
Devontae Booker,BookDe00,DEN,RB,-66,71,212,0.06357963084506592,29.564768895060503,0.0635796308450659_71_212_29.5647688950605,4
David Morgan,MorgDa01,MIN,TE,-66,76,262,0.06357963084506592,31.888157894736842,0.0635796308450659_76_262_31.8881578947368,4
Dwayne Allen,AlleDw00,NWE,TE,-67,75,255,0.04902258496906956,31.869333333333334,0.0490225849690696_75_255_31.8693333333333,4
James Hanna,HannJa00,DAL,TE,-67,76,252,0.04902258496906956,30.67105263157895,0.0490225849690696_76_252_30.6710526315789,4
C.J. Uzomah,UzomC.00,CIN,TE,-67,77,262,0.04902258496906956,31.065272389947715,0.0490225849690696_77_262_31.0652723899477,4
Jalen Richard,RichJa01,OAK,RB,-68,68,207,0.03446553909307321,31.470804498269896,0.0344655390930732_68_207_31.4708044982699,4
Elijah McGuire,McGuEl00,NYJ,RB,-68,70,214,0.03446553909307321,30.702448979591836,0.0344655390930732_70_214_30.7024489795918,4
Josh Hill,HillJo02,NOR,TE,-68,77,229,0.03446553909307321,27.15247090571766,0.0344655390930732_77_229_27.1524709057177,4
Kerwynn Williams,WillKe05,ARI,RB,-69,68,196,0.019908493217076863,29.798442906574394,0.0199084932170769_68_196_29.7984429065744,4
Josh Bellamy,BellJo02,CHI,WR,-69,72,206,0.019908493217076863,27.93557098765432,0.0199084932170769_72_206_27.9355709876543,4
Zay Jones,JoneZa00,BUF,WR,-69,74,201,0.019908493217076863,25.804054054054053,0.0199084932170769_74_201_25.8040540540541,4
T.J. Yeldon,YeldT.00,JAX,RB,-69,74,221,0.019908493217076863,28.37162162162162,0.0199084932170769_74_221_28.3716216216216,4
Logan Thomas,ThomLo00,BUF,TE,-69,78,248,0.019908493217076863,28.656147271531886,0.0199084932170769_78_248_28.6561472715319,4
C.J. Fiedorowicz,FiedC.00,HOU,TE,-69,78,265,0.019908493217076863,30.620479947403023,0.0199084932170769_78_265_30.620479947403,4
Corey Coleman,ColeCo00,CLE,WR,-70,71,194,0.005351447341080513,27.054552668121403,0.00535144734108051_71_194_27.0545526681214,4
Cody Latimer,LatiCo00,DEN,WR,-70,75,215,0.005351447341080513,26.87022222222222,0.00535144734108051_75_215_26.8702222222222,4
