Name,playerid,Team,Pos,PER,height,weight,z_score,BMI,combined_data,label
Wesley Iwundu,iwundwe01,ORL,SF,9.7,79,193,-0.9472039924311207,21.739945521551032,-0.947203992431121_79_193_21.739945521551,2
Evan Turner,turneev01,POR,SF,9.7,79,220,-0.9472039924311207,24.78128505047268,-0.947203992431121_79_220_24.7812850504727,2
Isaiah Taylor,taylois01,ATL,PG,9.6,75,170,-0.9678213663988643,21.246222222222222,-0.967821366398864_75_170_21.2462222222222,2
Michael Carter-Williams,cartemi01,CHO,PG,9.6,78,190,-0.9678213663988643,21.9543063773833,-0.967821366398864_78_190_21.9543063773833,2
Luc Mbah a Moute,mbahalu01,HOU,PF,9.6,80,230,-0.9678213663988643,25.2640625,-0.967821366398864_80_230_25.2640625,2
Thon Maker,makerth01,MIL,C,9.6,85,216,-0.9678213663988643,21.017024221453287,-0.967821366398864_85_216_21.0170242214533,2
Damyean Dotson,dotsoda01,NYK,SG,9.5,78,205,-0.9884387403666078,23.687541091387246,-0.988438740366608_78_205_23.6875410913872,2
Cedi Osman,osmande01,CLE,SF,9.5,80,210,-0.9884387403666078,23.0671875,-0.988438740366608_80_210_23.0671875,2
Tyler Ulis,ulisty01,PHO,PG,9.4,70,150,-1.0090561143343515,21.520408163265305,-1.00905611433435_70_150_21.5204081632653,2
Norman Powell,powelno01,TOR,SG,9.4,76,215,-1.0090561143343515,26.167763157894736,-1.00905611433435_76_215_26.1677631578947,2
Nik Stauskas,stausni01,TOT,SG,9.4,78,205,-1.0090561143343515,23.687541091387246,-1.00905611433435_78_205_23.6875410913872,2
Brandon Paul,paulbr01,SAS,SG,9.2,76,200,-1.0502908622698388,24.342105263157894,-1.05029086226984_76_200_24.3421052631579,2
Patrick McCaw,mccawpa01,GSW,SG,9.2,79,185,-1.0502908622698388,20.838807883352025,-1.05029086226984_79_185_20.838807883352,2
Matthew Dellavedova,dellama01,MIL,PG,9.1,76,198,-1.0709082362375826,24.098684210526315,-1.07090823623758_76_198_24.0986842105263,2
Garrett Temple,templga01,SAC,SG,8.9,78,195,-1.1121429841730697,22.53205128205128,-1.11214298417307_78_195_22.5320512820513,1
Tony Allen,allento01,NOP,SF,8.8,76,213,-1.1327603581408132,25.924342105263158,-1.13276035814081_76_213_25.9243421052632,1
Shabazz Muhammad,muhamsh01,MIN,SF,8.8,78,223,-1.1327603581408132,25.76742274819198,-1.13276035814081_78_223_25.767422748192,1
Ben McLemore,mclembe01,MEM,SG,8.7,77,195,-1.153377732108557,23.12109967954124,-1.15337773210856_77_195_23.1210996795412,1
Joe Johnson,johnsjo02,UTA,SF,8.7,79,240,-1.153377732108557,27.034129145970198,-1.15337773210856_79_240_27.0341291459702,1
Josh Jackson,jacksjo02,PHO,SF,8.7,80,207,-1.153377732108557,22.73765625,-1.15337773210856_80_207_22.73765625,1
Bryn Forbes,forbebr01,SAS,SG,8.6,75,190,-1.1739951060763008,23.74577777777778,-1.1739951060763_75_190_23.7457777777778,1
Dante Cunningham,cunnida01,NOP,SF,8.6,80,230,-1.1739951060763008,25.2640625,-1.1739951060763_80_230_25.2640625,1
Alex Abrines,abrinal01,OKC,SG,8.5,78,190,-1.1946124800440443,21.9543063773833,-1.19461248004404_78_190_21.9543063773833,1
Corey Brewer,breweco01,LAL,SF,8.5,81,186,-1.1946124800440443,19.929583904892546,-1.19461248004404_81_186_19.9295839048925,1
Ian Clark,clarkia01,NOP,SG,8.3,75,175,-1.2358472279795314,21.871111111111112,-1.23584722797953_75_175_21.8711111111111,1
Patrick Patterson,pattepa01,OKC,PF,8.3,81,230,-1.2358472279795314,24.64410912970584,-1.23584722797953_81_230_24.6441091297058,1
Jameer Nelson,nelsoja01,NOP,PG,8.2,72,190,-1.2564646019472754,25.765817901234566,-1.25646460194728_72_190_25.7658179012346,1
Malik Monk,monkma01,CHO,SG,8.2,75,200,-1.2564646019472754,24.995555555555555,-1.25646460194728_75_200_24.9955555555556,1
Malik Beasley,beaslma01,DEN,SG,8.2,77,196,-1.2564646019472754,23.239669421487605,-1.25646460194728_77_196_23.2396694214876,1
Dillon Brooks,brookdi01,MEM,SF,8.2,78,220,-1.2564646019472754,25.42077580539119,-1.25646460194728_78_220_25.4207758053912,1
Jerryd Bayless,bayleje01,PHI,SG,8,75,200,-1.2976993498827625,24.995555555555555,-1.29769934988276_75_200_24.9955555555556,1
