Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score
Joe Pavelski,paveljo01,SJS,C,0.4,71,195,0.03724612284518073
Greg McKegg,mckeggr01,PIT,C,0.4,72,191,0.03724612284518073
Scott Laughton,laughsc01,PHI,C,0.4,73,190,0.03724612284518073
John Moore,moorejo01,NJD,D,0.4,74,210,0.03724612284518073
Hampus Lindholm,lindhha01,ANA,D,0.4,75,208,0.03724612284518073
Eric Gryba,grybaer01,EDM,D,0.4,76,222,0.03724612284518073
Nikolaj Ehlers,ehlerni01,WPG,LW,0.3,72,172,0.01276098427243879
Jason Pominville,pominja01,BUF,RW,0.3,72,180,0.01276098427243879
Phil Kessel,kesseph01,PIT,RW,0.3,72,202,0.01276098427243879
Marian Gaborik,gaborma01,LAK,RW,0.3,73,200,0.01276098427243879
Filip Forsberg,forsbfi01,NSH,LW,0.3,73,205,0.01276098427243879
Miles Wood,woodmi01,NJD,LW,0.3,74,195,0.01276098427243879
Nick Holden,holdeni01,NYR,D,0.3,76,214,0.01276098427243879
Toby Enstrom,enstrto01,WPG,D,0.2,70,180,-0.011724154300303135
Niklas Kronwall,kronwni01,DET,D,0.2,72,194,-0.011724154300303135
Sonny Milano,milanso01,CBJ,LW,0.2,72,195,-0.011724154300303135
Joel Eriksson Ek,eriksjo02,MIN,LW,0.2,73,206,-0.011724154300303135
Tomas Nosek,nosekto01,VEG,LW,0.2,75,210,-0.011724154300303135
Ian McCoshen,mccosia01,FLA,D,0.2,75,217,-0.011724154300303135
John Hayden,haydejo01,CHI,RW,0.2,75,223,-0.011724154300303135
Erik Johnson,johnser01,COL,D,0.2,76,225,-0.011724154300303135
Mikkel Boedker,boedkmi01,SJS,LW,0.1,72,210,-0.03620929287304507
Nathan Beaulieu,beaulna01,BUF,D,0.1,74,200,-0.03620929287304507
Kevin Hayes,hayeske01,NYR,RW,0.1,77,217,-0.03620929287304507
Sebastian Aho,ahose01,CAR,RW,0,71,172,-0.060694431445787
MacKenzie Weegar,weegama01,FLA,D,0,72,212,-0.060694431445787
Andrew MacDonald,macdoan01,PHI,D,0,73,204,-0.060694431445787
Nicolas Deslauriers,deslani01,MTL,LW,0,73,215,-0.060694431445787
Nikita Zaitsev,zaitsni01,TOR,D,0,74,195,-0.060694431445787
Ron Hainsey,hainsro01,TOR,D,0,75,205,-0.060694431445787
Jonas Brodin,brodijo01,MIN,D,-0.1,73,194,-0.08517957001852894
Ryan Strome,stromry01,EDM,RW,-0.1,73,194,-0.08517957001852894
Markus Hannikainen,hannima01,CBJ,LW,-0.1,73,200,-0.08517957001852894
Johnny Boychuk,boychjo01,NYI,D,-0.1,74,227,-0.08517957001852894
Cody Eakin,eakinco01,VEG,C,-0.2,72,190,-0.10966470859127087
Michal Kempny,kempnmi01,CHI,D,-0.2,72,194,-0.10966470859127087
Tanner Pearson,pearsta01,LAK,LW,-0.2,73,201,-0.10966470859127087
Drew Stafford,staffdr01,NJD,RW,-0.2,74,215,-0.10966470859127087
Jaccob Slavin,slavija01,CAR,D,-0.2,75,205,-0.10966470859127087
Jamie Oleksiak,oleksja01,TOT,D,-0.2,79,255,-0.10966470859127087
Anthony Beauvillier,beauvan01,NYI,LW,-0.3,71,182,-0.1341498471640128
Brandon Dubinsky,dubinbr01,CBJ,C,-0.3,74,205,-0.1341498471640128
Chris Stewart,stewach02,MIN,RW,-0.3,74,242,-0.1341498471640128
Chris Kreider,kreidch01,NYR,LW,-0.3,75,224,-0.1341498471640128
Nick Bjugstad,bjugsni01,FLA,C,-0.3,78,218,-0.1341498471640128
Brad Richardson,richabr02,ARI,C,-0.4,72,190,-0.15863498573675475
David Perron,perroda01,VEG,LW,-0.4,72,200,-0.15863498573675475
Adam Larsson,larssad01,EDM,D,-0.4,75,210,-0.15863498573675475
Michael Stone,stonemi01,CGY,D,-0.4,75,210,-0.15863498573675475
Kyle Palmieri,palmiky01,NJD,RW,-0.5,71,185,-0.18312012430949667
Tyler Toffoli,toffoty01,LAK,C,-0.5,72,197,-0.18312012430949667
Ryan Carpenter,carpery01,TOT,C,-0.5,72,200,-0.18312012430949667
Scottie Upshall,upshasc01,STL,RW,-0.5,72,200,-0.18312012430949667
Chandler Stephenson,stephch02,WSH,C,-0.5,72,203,-0.18312012430949667
Trevor Lewis,lewistr01,LAK,C,-0.5,73,205,-0.18312012430949667
Carter Rowney,rowneca01,PIT,RW,-0.5,74,200,-0.18312012430949667
Jack Eichel,eicheja01,BUF,C,-0.5,74,206,-0.18312012430949667
Magnus Paajarvi,paajama01,STL,LW,-0.5,75,206,-0.18312012430949667
Riley Sheahan,sheahri01,TOT,C,-0.5,75,214,-0.18312012430949667
Tyler Ennis,ennisty01,MIN,LW,-0.6,69,161,-0.2076052628822386
Vladimir Sobotka,sobotvl01,STL,LW,-0.6,70,184,-0.2076052628822386
Joel Edmundson,edmunjo01,STL,D,-0.6,76,215,-0.2076052628822386
Patrik Laine,lainepa01,WPG,RW,-0.6,77,206,-0.2076052628822386
Jordan Oesterle,oestejo01,CHI,D,-0.7,72,182,-0.23209040145498053
Zemgus Girgensons,girgeze01,BUF,C,-0.7,74,207,-0.23209040145498053
Nick Ritchie,ritchni01,ANA,LW,-0.7,74,234,-0.23209040145498053
Karl Alzner,alzneka01,MTL,D,-0.7,75,217,-0.23209040145498053
Marc Staal,staalma01,NYR,D,-0.7,76,209,-0.23209040145498053
Nikita Zadorov,zadorni01,COL,D,-0.7,77,230,-0.23209040145498053
Vincent Trocheck,trochvi01,FLA,C,-0.8,70,182,-0.2565755400277225
Shayne Gostisbehere,gostish01,PHI,D,-0.8,71,180,-0.2565755400277225
Ryan Dzingel,dzingry01,OTT,LW,-0.8,72,190,-0.2565755400277225
Calvin de Haan,dehaaca01,NYI,D,-0.8,73,198,-0.2565755400277225
Loui Eriksson,erikslo01,VAN,LW,-0.8,74,196,-0.2565755400277225
Luca Sbisa,sbisalu01,VEG,D,-0.8,74,209,-0.2565755400277225
Jordan Weal,wealjo01,PHI,C,-0.9,70,179,-0.28106067860046435
Nick Cousins,cousini01,ARI,C,-0.9,71,185,-0.28106067860046435
Joseph Morrow,morrojo02,MTL,D,-0.9,72,196,-0.28106067860046435
Nathan MacKinnon,mackina01,COL,C,-0.9,72,205,-0.28106067860046435
Oscar Fantenberg,fanteos01,LAK,D,-0.9,72,210,-0.28106067860046435
Nick Shore,shoreni01,LAK,C,-0.9,73,195,-0.28106067860046435
Matt Niskanen,niskama01,WSH,D,-0.9,73,203,-0.28106067860046435
Logan Couture,coutulo01,SJS,C,-0.9,73,205,-0.28106067860046435
