Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
562,Dmitry Orlov\orlovdm01,26,WSH,D,47,895,864,50.9,4.6,645,638,50.3,5.9,10.0,91.7,101.7,45.1,54.9,23:11,19:46,28,29,1.7,159,50.3
563,Brooks Orpik\orpikbr01,37,WSH,D,47,676,890,43.2,-7.5,471,680,40.9,-8.7,7.8,93.0,100.8,44.5,55.5,20:35,17:29,10,26,-12.8,74,32.4
564,T.J. Oshie\oshietj01,31,WSH,RW,41,548,557,49.6,2.1,396,413,48.9,3.4,9.0,93.0,102.0,48.6,51.4,18:41,14:25,26,25,-3.5,133,53.4
565,Xavier Ouellet\ouellxa01,24,DET,D,32,355,368,49.1,0.7,275,280,49.5,0.6,8.1,91.3,99.3,45.0,55.0,13:49,12:14,4,11,-3.3,72,56.9
566,Alex Ovechkin\ovechal01,32,WSH,LW,47,739,734,50.2,3.1,551,573,49.0,3.6,11.6,92.1,103.7,54.9,45.1,19:46,15:27,9,49,-1.8,366,53.6
567,Magnus Paajarvi\paajama01,26,STL,LW,43,361,423,46.0,-6.4,285,301,48.6,-5.4,3.5,95.5,99.0,33.3,66.7,11:09,9:50,18,4,-0.5,81,71.6
568,Max Pacioretty\pacioma01,29,MTL,LW,46,718,623,53.5,3.5,523,453,53.6,3.9,7.8,86.9,94.7,57.5,42.5,19:11,14:12,19,29,4.2,313,56.5
569,Jean-Gabriel Pageau\pageaje01,25,OTT,C,42,510,614,45.4,-4.0,385,435,47.0,-2.8,8.1,90.4,98.6,40.7,59.3,15:57,13:27,16,28,-4.2,115,60.0
570,Iiro Pakarinen\pakarii01,26,EDM,RW,18,131,152,46.3,-9.4,102,111,47.9,-7.6,2.9,96.3,99.2,54.1,45.9,10:19,8:28,10,5,-0.9,36,44.4
571,Ondrej Palat\palaton01,26,TBL,LW,45,659,603,52.2,0.0,485,443,52.3,0.2,11.4,93.3,104.7,50.9,49.1,17:27,13:58,30,34,5.8,169,54.4
572,Kyle Palmieri\palmiky01,26,NJD,RW,25,339,323,51.2,3.7,267,237,53.0,3.7,6.3,89.1,95.5,50.4,49.6,17:00,13:27,14,6,-0.5,132,57.6
573,Artemi Panarin\panarar01,26,CBJ,LW,47,937,670,58.3,11.0,713,494,59.1,10.2,6.7,92.5,99.2,65.6,34.4,20:30,17:27,50,27,5.9,285,46.7
574,Richard Panik\panikri01,26,TOT,RW,41,633,483,56.7,5.6,420,380,52.5,2.6,8.1,93.1,101.2,57.0,43.0,14:31,12:48,18,6,0.7,148,51.4
575,Cedric Paquette\paquece01,24,TBL,C,30,270,268,50.2,-3.2,198,200,49.7,-3.1,5.5,92.5,97.9,46.0,54.0,9:56,9:33,4,2,-1.4,64,51.6
576,Colton Parayko\parayco01,24,STL,D,48,891,792,52.9,2.6,695,566,55.1,3.3,8.6,91.0,99.6,45.9,54.1,22:47,18:26,34,28,6.3,225,54.2
577,Zach Parise\parisza01,33,MIN,LW,7,74,107,40.9,-10.2,53,76,41.1,-9.1,6.5,87.3,93.8,59.6,40.4,16:24,13:14,4,4,0.3,23,73.9
578,David Pastrnak\pastrda01,21,BOS,RW,44,681,574,54.3,2.5,473,454,51.0,-2.0,11.1,91.3,102.5,59.6,40.4,18:07,14:51,30,41,6.2,230,50.9
579,Greg Pateryn\patergr01,27,DAL,D,38,568,537,51.4,-0.4,405,386,51.2,0.2,8.7,91.9,100.6,39.3,60.7,19:43,17:15,3,16,1.5,105,41.0
580,Nolan Patrick\patrino01,19,PHI,C,36,324,404,44.5,-5.1,247,309,44.4,-5.2,7.1,93.7,100.8,55.1,44.9,12:07,10:15,10,16,-1.5,72,59.7
581,Nick Paul\paulni01,22,OTT,LW,11,73,57,56.2,7.2,59,45,56.7,8.5,2.6,86.1,88.7,84.4,15.6,7:54,7:25,2,4,-1.1,21,52.4
582,Joe Pavelski\paveljo01,33,SJS,C,44,750,652,53.5,1.3,540,452,54.4,2.5,6.2,90.3,96.5,55.9,44.1,18:55,15:10,23,38,0.4,206,56.3
583,Tanner Pearson\pearsta01,25,LAK,LW,46,640,567,53.0,4.0,482,445,52.0,3.6,10.5,91.9,102.4,51.8,48.2,16:16,12:60,15,24,-0.2,191,51.8
584,Adam Pelech\pelecad01,23,NYI,D,43,677,702,49.1,1.3,491,520,48.6,2.3,12.1,91.6,103.7,41.5,58.5,18:56,16:15,13,31,2.7,127,41.7
585,Anthony Peluso\pelusan01,28,WSH,RW,2,4,5,44.4,0.7,4,5,44.4,0.4,0.0,100.0,100.0,50.0,50.0,4:39,4:39,0,1,-0.1,0,
586,Brendan Perlini\perlibr01,21,ARI,LW,40,485,547,47.0,-0.3,332,414,44.5,-2.1,7.8,90.3,98.1,45.1,54.9,14:45,12:50,9,11,-3.5,159,49.1
587,Mathieu Perreault\perrema01,30,WPG,C,34,451,322,58.3,8.2,331,245,57.5,6.3,9.2,90.8,100.0,52.2,47.8,13:39,11:03,13,11,7.7,105,57.1
588,David Perron\perroda01,29,VEG,LW,39,547,547,50.0,-1.8,398,390,50.5,-2.2,13.2,90.8,103.9,52.5,47.5,17:44,14:33,29,19,-0.4,132,51.5
589,Corey Perry\perryco01,32,ANA,RW,36,473,587,44.6,-1.0,352,439,44.5,-1.7,11.3,89.6,100.9,48.7,51.3,17:49,14:44,10,21,-4.0,127,58.3
590,Brett Pesce\pescebr01,23,CAR,D,39,693,605,53.4,0.1,510,461,52.5,0.0,7.8,89.5,97.3,47.1,52.9,21:19,18:28,22,18,2.2,99,43.4
591,Nic Petan\petanni01,22,WPG,LW,6,28,43,39.4,-6.9,21,36,36.8,-10.1,0.0,92.9,92.9,27.8,72.2,8:59,7:44,3,1,-0.7,10,60.0
592,Alex Petrovic\petroal01,25,FLA,D,33,465,417,52.7,3.6,361,319,53.1,3.5,5.6,89.8,95.4,56.7,43.3,14:44,14:11,7,14,-1.0,72,43.1
593,Jeff Petry\petryje01,30,MTL,D,46,873,797,52.3,1.9,631,587,51.8,1.6,5.8,88.1,93.9,50.4,49.6,23:12,18:11,18,65,0.8,203,46.8
594,Dion Phaneuf\phanedi01,32,OTT,D,41,595,750,44.2,-6.3,433,543,44.4,-7.0,10.3,91.0,101.2,47.3,52.7,20:29,16:14,16,28,-6.5,137,51.8
595,Alex Pietrangelo\pietral01,28,STL,D,44,856,847,50.3,-1.6,645,598,51.9,-2.0,9.7,93.4,103.1,49.7,50.3,25:31,19:28,30,20,-4.1,225,54.7
596,Tyler Pitlick\pitlity01,26,DAL,C,45,478,444,51.8,-0.3,355,317,52.8,1.2,8.8,94.0,102.8,34.8,65.2,12:54,11:21,20,13,2.1,136,50.7
597,Tomas Plekanec\plekato01,35,MTL,C,46,683,659,50.9,-0.3,508,475,51.7,1.3,6.5,93.2,99.8,41.4,58.6,16:27,13:52,18,35,6.6,152,63.2
598,Brayden Point\pointbr01,21,TBL,C,45,704,630,52.8,0.8,515,471,52.2,0.1,11.0,93.8,104.8,48.4,51.6,19:05,14:49,27,16,5.1,201,53.2
599,Roman Polak\polakro01,31,TOR,D,28,400,435,47.9,-3.4,297,343,46.4,-3.4,7.0,91.7,98.6,42.2,57.8,16:52,14:29,0,14,2.8,59,39.0
600,Jason Pominville\pominja01,35,BUF,RW,45,609,562,52.0,6.0,483,442,52.2,6.5,7.3,89.0,96.3,64.1,35.9,15:07,13:08,15,7,0.3,153,58.2
601,Tucker Poolman\poolmtu01,24,WPG,D,13,169,134,55.8,3.9,123,96,56.2,2.7,8.0,94.8,102.8,58.1,41.9,12:33,12:30,3,8,1.6,38,44.7
602,Paul Postma\postmpa01,28,BOS,D,12,120,112,51.7,-0.3,93,86,52.0,-0.6,5.7,90.0,95.7,58.5,41.5,10:16,9:30,1,4,1.1,30,43.3
