Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
70,Thomas Bryant\bryanth01,C,20,LAL,3,6,-0.7,.266,1.000,2.000,0.0,17.9,8.8,0.0,0.0,0.0,0.0,13.1,,0.0,0.0,0.0,-0.101,,-8.7,-5.8,-14.5,0.0
71,Reggie Bullock\bullore01,SF,26,DET,29,683,12.4,.626,.523,.063,1.9,7.0,4.4,6.1,1.9,0.6,6.8,12.5,,1.1,0.7,1.7,.121,,0.9,0.1,1.0,0.5
72,Trey Burke\burketr01,PG,25,NYK,1,8,28.5,.525,.000,1.333,14.4,0.0,7.0,35.6,0.0,0.0,0.0,26.2,,0.1,0.0,0.0,.297,,6.8,-4.9,1.9,0.0
73,Alec Burks\burksal01,SG,26,UTA,41,751,15.2,.528,.335,.304,2.4,18.5,10.3,10.0,2.2,1.0,9.7,23.9,,0.4,0.9,1.2,.080,,-1.7,-0.7,-2.5,-0.1
74,Jimmy Butler\butleji01,SG,28,MIN,45,1662,23.7,.589,.211,.425,4.4,12.5,8.4,21.1,2.8,1.0,9.5,24.5,,5.5,1.6,7.1,.205,,4.8,0.3,5.1,3.0
75,Dwight Buycks\buyckdw01,PG,28,DET,11,172,13.6,.532,.231,.167,2.5,11.5,6.9,28.0,1.2,0.5,19.3,26.7,,0.0,0.2,0.1,.035,,-2.0,-1.8,-3.8,-0.1
76,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,15.9,8.1,16.8,7.0,0.0,0.0,12.4,,0.0,0.0,0.0,-0.113,,-6.5,4.3,-2.1,0.0
77,Jose Calderon\caldejo01,PG,36,CLE,33,573,10.1,.633,.574,.178,1.6,8.1,4.9,16.9,1.6,0.0,18.1,10.3,,0.8,0.2,1.0,.084,,-0.2,-1.9,-2.1,0.0
78,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,38,1269,12.9,.541,.508,.234,2.4,12.9,7.6,8.9,2.5,0.6,10.3,17.7,,0.9,1.4,2.3,.087,,0.0,0.4,0.4,0.8
79,Isaiah Canaan\canaais01,PG-SG,26,TOT,13,280,16.9,.596,.488,.453,0.8,10.9,5.7,28.3,2.1,0.3,14.9,18.3,,0.7,0.1,0.8,.137,,2.0,-2.3,-0.4,0.1
79,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.2,.000,.000,.000,0.0,28.5,14.2,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.227,,-16.9,-4.3,-21.2,0.0
79,Isaiah Canaan\canaais01,PG,26,PHO,12,276,17.3,.602,.494,.459,0.8,10.6,5.6,28.7,2.1,0.3,15.0,18.4,,0.7,0.1,0.8,.142,,2.3,-2.3,-0.1,0.1
80,Clint Capela\capelca01,C,23,HOU,38,1001,25.9,.673,.003,.371,14.3,32.8,23.5,7.5,1.2,5.7,13.4,20.3,,3.4,1.7,5.2,.248,,0.9,2.6,3.5,1.4
81,DeMarre Carroll\carrode01,SF,31,BRK,40,1162,13.9,.528,.474,.319,5.9,19.0,12.4,10.0,1.4,1.0,10.5,19.6,,1.0,1.2,2.2,.092,,-0.2,0.4,0.2,0.6
82,Vince Carter\cartevi01,SF,41,SAC,26,401,10.7,.470,.528,.120,2.2,12.5,7.2,9.4,2.6,4.0,7.3,13.7,,0.0,0.3,0.4,.043,,-2.0,1.3,-0.8,0.1
83,Michael Carter-Williams\cartemi01,PG,26,CHO,32,506,9.6,.433,.240,.480,5.0,13.5,9.2,20.6,2.3,2.3,20.1,16.2,,-0.3,0.7,0.4,.040,,-3.4,2.5,-0.9,0.1
84,Alex Caruso\carusal01,PG,23,LAL,13,126,3.8,.454,.250,.125,3.3,6.8,5.1,13.7,1.1,0.6,26.2,11.4,,-0.1,0.1,0.0,-0.019,,-5.7,-1.0,-6.7,-0.1
